name_auction	link	serial_number	hours_used	sold_price	sold_date	country
2000 AUSA D250AHG	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9498137&LP=MAT	60123024	3.370	2.250	26-9-2013 4:07:00	Netherlands
2007 AUSA D250RHG	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9967233&LP=MAT	55956008	819	2.750	8-5-2014 1:46:00	Netherlands
2006 AUSA D300AMG	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9300333&LP=MAT	65048541		7.500	13-6-2013 2:20:00	Netherlands
2006 AUSA D300AMG	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9300337&LP=MAT	65047879		7.500	13-6-2013 2:24:00	Netherlands
2002 AUSA D300RHG	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9300339&LP=MAT	55532073	1.142	2.000	13-6-2013 2:25:00	Netherlands
2007 AUSA D350AHG	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=10262505&LP=MAT	65156016	2.897	4.000	25-9-2014 2:01:00	Netherlands
2006 AUSA D350AHG	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9300329&LP=MAT	65147773	902	7.000	13-6-2013 1:53:00	Netherlands
2007 AUSA D600APG	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=10262561&LP=MAT	64053838	2.535	5.500	25-9-2014 2:10:00	Netherlands
2006 AUSA D600APG	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9493775&LP=MAT	64049807	2.521	5.000	26-9-2013 4:03:00	Netherlands
BABCOCK SP50	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9311145&LP=MAT	S80C783	5.135	2.000	14-6-2013 2:00:00	Netherlands
1988 BARBER-GREENE BG250	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9503475&LP=MAT	E110	14.915	6.000	26-9-2013 14:29:00	Netherlands
